Дата;Открытие;Макс;Мин;Закрытие
14.09.2018;107190;107280;107190;107280
14.09.2018;107290;107380;107290;107340
14.09.2018;107340;107350;107320;107320
14.09.2018;107330;107330;107300;107300
14.09.2018;107300;107300;107300;107300
14.09.2018;107290;107290;107280;107280
14.09.2018;107290;107320;107290;107320
14.09.2018;107370;107380;107370;107380
14.09.2018;107390;107480;107390;107470
14.09.2018;107490;107600;107490;107600
14.09.2018;107610;107630;107600;107600
14.09.2018;107580;107580;107560;107560
14.09.2018;107580;107580;107510;107510
14.09.2018;107490;107530;107490;107490
14.09.2018;107510;107510;107490;107490
14.09.2018;107490;107490;107490;107490
14.09.2018;107510;107510;107510;107510
14.09.2018;107550;107550;107550;107550
14.09.2018;107490;107490;107480;107480
14.09.2018;107480;107480;107360;107360
14.09.2018;107350;107360;107300;107300
14.09.2018;107320;107320;107310;107310
14.09.2018;107310;107310;107180;107180
14.09.2018;107150;107200;107150;107200
14.09.2018;107200;107220;107200;107220
14.09.2018;107230;107240;107210;107220
14.09.2018;107200;107200;107200;107200
14.09.2018;107260;107280;107200;107200
14.09.2018;107200;107200;107200;107200
14.09.2018;107190;107190;107190;107190
14.09.2018;107250;107260;107250;107260
14.09.2018;107260;107260;107220;107220
14.09.2018;107200;107200;107120;107160
14.09.2018;107170;107180;107170;107180
14.09.2018;107110;107180;107100;107180
14.09.2018;107230;107230;107230;107230
14.09.2018;107230;107260;107230;107260
14.09.2018;107300;107310;107300;107310
14.09.2018;107320;107390;107270;107390
14.09.2018;107390;107410;107320;107320
14.09.2018;107330;107350;107300;107320
14.09.2018;107300;107310;107300;107310
14.09.2018;107310;107320;107280;107320
14.09.2018;107370;107400;107370;107400
14.09.2018;107450;107890;107450;107610
14.09.2018;107640;107750;107610;107690
14.09.2018;107740;108100;107740;108090
14.09.2018;108060;108370;108060;108120
14.09.2018;108100;108120;107980;108120
14.09.2018;108120;108210;108120;108210
14.09.2018;108240;108330;108080;108080
14.09.2018;108080;108160;108070;108160
14.09.2018;108140;108280;108140;108280
14.09.2018;108300;108400;108270;108330
14.09.2018;108330;108330;108200;108270
14.09.2018;108170;108170;108150;108150
14.09.2018;108200;108210;108160;108210
14.09.2018;108210;108280;108210;108280
14.09.2018;108250;108420;108250;108400
14.09.2018;108400;108440;108370;108380
14.09.2018;108320;108360;108270;108280
14.09.2018;108290;108350;108290;108320
14.09.2018;108290;108440;108260;108270
14.09.2018;108270;108390;108250;108300
14.09.2018;108300;108400;108280;108330
14.09.2018;108320;108350;108300;108300
14.09.2018;108280;108280;108210;108230
14.09.2018;108270;108270;108110;108120
14.09.2018;108080;108160;108060;108160
14.09.2018;108180;108180;108180;108180
14.09.2018;108210;108240;108210;108240
14.09.2018;108190;108190;108160;108160
14.09.2018;108260;108260;108260;108260
14.09.2018;108270;108310;108260;108310
14.09.2018;108320;108450;108320;108430
14.09.2018;108390;108390;108310;108310
14.09.2018;108280;108310;108280;108280
14.09.2018;108280;108330;108220;108220
14.09.2018;108230;108250;108230;108240
14.09.2018;108250;108250;108160;108160
14.09.2018;108180;108230;108180;108230
14.09.2018;108150;108190;108150;108190
14.09.2018;108200;108200;108190;108200
14.09.2018;108230;108270;108230;108270
14.09.2018;108250;108250;108180;108180
14.09.2018;108170;108200;108170;108180
14.09.2018;108240;108250;108240;108250
14.09.2018;108250;108250;108190;108190
14.09.2018;108170;108170;108130;108140
14.09.2018;108110;108140;108110;108110
14.09.2018;108100;108100;108050;108050
14.09.2018;108100;108100;108050;108050
14.09.2018;108030;108080;108020;108050
14.09.2018;108100;108110;108080;108080
14.09.2018;108140;108140;108100;108120
14.09.2018;108140;108140;108140;108140
14.09.2018;108100;108100;108070;108070
14.09.2018;108080;108080;108080;108080
14.09.2018;108140;108140;108140;108140
14.09.2018;108140;108200;108140;108180
14.09.2018;108210;108210;108200;108200
14.09.2018;108170;108170;108140;108140
14.09.2018;108130;108130;108130;108130
14.09.2018;108140;108140;108100;108100
14.09.2018;108120;108120;108080;108110
14.09.2018;108080;108120;108050;108120
14.09.2018;108110;108150;108110;108150
14.09.2018;108180;108210;108170;108210
14.09.2018;108200;108200;108200;108200
14.09.2018;108180;108180;108150;108150
14.09.2018;108150;108150;108110;108110
14.09.2018;108190;108220;108190;108220
14.09.2018;108230;108250;108190;108210
14.09.2018;108180;108190;108170;108190
14.09.2018;108150;108180;108150;108180
14.09.2018;108180;108180;108180;108180
14.09.2018;108190;108220;108170;108170
14.09.2018;108140;108160;108140;108140
14.09.2018;108140;108150;108140;108150
14.09.2018;108150;108150;108130;108130
14.09.2018;108110;108130;108110;108130
14.09.2018;108190;108200;108150;108150
14.09.2018;108160;108160;108140;108140
14.09.2018;108140;108160;108120;108160
14.09.2018;108250;108260;108240;108240
14.09.2018;108230;108240;108220;108230
14.09.2018;108260;108270;108170;108180
14.09.2018;108160;108160;108140;108140
14.09.2018;108120;108120;108120;108120
14.09.2018;108130;108130;108060;108120
14.09.2018;108130;108130;108130;108130
14.09.2018;108150;108150;108100;108100
14.09.2018;108100;108100;108100;108100
14.09.2018;108080;108120;108080;108120
14.09.2018;108110;108110;108090;108090
14.09.2018;108080;108090;108080;108090
14.09.2018;108100;108130;108100;108100
14.09.2018;108120;108130;108120;108130
14.09.2018;108110;108110;108110;108110
14.09.2018;108140;108150;108140;108150
14.09.2018;108140;108140;108090;108090
14.09.2018;108140;108140;108140;108140
14.09.2018;108120;108120;108100;108100
14.09.2018;108050;108050;108030;108030
14.09.2018;108060;108080;108010;108020
14.09.2018;108030;108080;108030;108040
14.09.2018;108060;108060;108060;108060
14.09.2018;108000;108000;107970;107970
14.09.2018;107980;108190;107980;108170
14.09.2018;108090;108090;108090;108090
14.09.2018;108140;108140;108110;108110
14.09.2018;108150;108150;108130;108130
14.09.2018;108120;108220;108120;108220
14.09.2018;108220;108360;108220;108300
14.09.2018;108220;108250;108200;108230
14.09.2018;108290;108290;108290;108290
14.09.2018;108270;108280;108270;108270
14.09.2018;108250;108260;108210;108210
14.09.2018;108220;108280;108220;108280
14.09.2018;108310;108310;108310;108310
14.09.2018;108260;108260;108210;108210
14.09.2018;108220;108270;108220;108270
14.09.2018;108230;108240;108230;108230
14.09.2018;108230;108230;108230;108230
14.09.2018;108220;108250;108220;108250
14.09.2018;108240;108240;108240;108240
14.09.2018;108220;108220;108220;108220
14.09.2018;108170;108170;108170;108170
14.09.2018;108180;108180;108180;108180
14.09.2018;108140;108140;108140;108140
14.09.2018;108150;108150;108150;108150
14.09.2018;108180;108180;108180;108180
14.09.2018;108180;108180;108180;108180
14.09.2018;108190;108240;108190;108230
14.09.2018;108200;108200;108180;108200
14.09.2018;108220;108240;108220;108240
14.09.2018;108210;108300;108210;108270
14.09.2018;108250;108250;108210;108210
14.09.2018;108240;108240;108180;108210
14.09.2018;108180;108180;108100;108150
14.09.2018;108150;108180;108150;108180
14.09.2018;108210;108250;108210;108240
14.09.2018;108250;108290;108230;108230
14.09.2018;108250;108250;108240;108240
14.09.2018;108240;108240;108240;108240
14.09.2018;108260;108260;108210;108210
14.09.2018;108230;108360;108230;108340
14.09.2018;108370;108370;108280;108340
14.09.2018;108340;108340;108320;108320
14.09.2018;108260;108290;108260;108290
14.09.2018;108310;108360;108310;108350
14.09.2018;108320;108320;108260;108280
14.09.2018;108240;108260;108230;108230
14.09.2018;108260;108260;108260;108260
14.09.2018;108260;108290;108260;108290
14.09.2018;108340;108340;108190;108190
14.09.2018;108250;108270;108040;108040
14.09.2018;108060;108120;108040;108090
14.09.2018;108130;108180;108130;108170
14.09.2018;108140;108140;108050;108050
14.09.2018;108070;108070;108060;108060
14.09.2018;108060;108060;108050;108050
14.09.2018;108100;108100;108080;108080
14.09.2018;108140;108150;108140;108150
14.09.2018;108180;108180;108120;108120
14.09.2018;108130;108250;108130;108220
14.09.2018;108220;108220;108170;108170
14.09.2018;108180;108180;108180;108180
14.09.2018;108240;108260;108200;108260
14.09.2018;108270;108290;108270;108290
14.09.2018;108350;108410;108350;108390
14.09.2018;108400;108490;108400;108470
14.09.2018;108490;108500;108420;108450
14.09.2018;108470;108500;108470;108500
14.09.2018;108500;108590;108500;108570
14.09.2018;108570;108590;108530;108530
14.09.2018;108520;108530;108510;108530
14.09.2018;108540;108580;108530;108580
14.09.2018;108550;108550;108520;108520
14.09.2018;108520;108530;108510;108520
14.09.2018;108520;108520;108460;108510
14.09.2018;108500;108510;108500;108500
14.09.2018;108490;108490;108460;108460
14.09.2018;108430;108440;108400;108400
14.09.2018;108380;108390;108320;108340
14.09.2018;108360;108360;108360;108360
14.09.2018;108330;108330;108270;108290
14.09.2018;108310;108350;108310;108350
14.09.2018;108320;108320;108290;108290
14.09.2018;108300;108330;108300;108330
14.09.2018;108330;108330;108300;108330
14.09.2018;108300;108310;108250;108250
14.09.2018;108250;108270;108240;108240
14.09.2018;108250;108250;108210;108210
14.09.2018;108250;108260;108200;108200
14.09.2018;108200;108200;108200;108200
14.09.2018;108210;108210;108210;108210
14.09.2018;108200;108200;108160;108180
14.09.2018;108200;108200;108170;108170
14.09.2018;108190;108200;108150;108150
14.09.2018;108180;108210;108160;108200
14.09.2018;108200;108200;108140;108140
14.09.2018;108120;108120;108080;108100
14.09.2018;108150;108160;108120;108120
14.09.2018;108160;108210;108160;108210
14.09.2018;108180;108180;108120;108120
14.09.2018;108140;108180;108070;108070
14.09.2018;108060;108090;108050;108060
14.09.2018;108100;108110;108100;108100
14.09.2018;108080;108080;108060;108080
14.09.2018;108100;108120;108100;108120
14.09.2018;108120;108120;108110;108110
14.09.2018;108130;108150;108120;108120
14.09.2018;108100;108100;108100;108100
14.09.2018;108150;108180;108130;108130
14.09.2018;108130;108140;108090;108100
14.09.2018;108130;108140;108130;108140
14.09.2018;108110;108120;108110;108120
14.09.2018;108130;108130;108100;108100
14.09.2018;108170;108190;108150;108150
14.09.2018;108170;108210;108130;108160
14.09.2018;108130;108130;108080;108080
14.09.2018;108070;108070;108070;108070
14.09.2018;108140;108150;108140;108150
14.09.2018;108110;108110;108110;108110
14.09.2018;108100;108100;108100;108100
14.09.2018;108050;108080;108050;108060
14.09.2018;108100;108130;108100;108120
14.09.2018;108150;108150;108140;108140
14.09.2018;108160;108160;108160;108160
14.09.2018;108130;108130;108130;108130
14.09.2018;108100;108130;108100;108130
14.09.2018;108130;108130;108130;108130
14.09.2018;108190;108190;108190;108190
14.09.2018;108170;108170;108160;108160
14.09.2018;108190;108230;108190;108230
14.09.2018;108210;108220;108170;108170
14.09.2018;108130;108130;108120;108120
14.09.2018;108150;108150;108150;108150
14.09.2018;108140;108140;108110;108110
14.09.2018;108140;108140;108140;108140
14.09.2018;108100;108100;108100;108100
14.09.2018;108130;108200;108130;108200
14.09.2018;108240;108250;108200;108200
14.09.2018;108260;108350;108260;108300
14.09.2018;108280;108310;108280;108300
14.09.2018;108280;108320;108280;108310
14.09.2018;108310;108330;108310;108330
14.09.2018;108340;108380;108320;108340
14.09.2018;108350;108350;108310;108310
14.09.2018;108310;108310;108310;108310
14.09.2018;108290;108320;108290;108300
14.09.2018;108320;108320;108320;108320
14.09.2018;108310;108310;108310;108310
14.09.2018;108300;108300;108300;108300
14.09.2018;108300;108320;108270;108270
14.09.2018;108310;108340;108310;108340
14.09.2018;108360;108370;108360;108370
14.09.2018;108380;108390;108360;108390
14.09.2018;108400;108400;108400;108400
14.09.2018;108330;108330;108290;108290
14.09.2018;108290;108320;108290;108320
14.09.2018;108350;108370;108350;108370
14.09.2018;108370;108370;108370;108370
14.09.2018;108350;108350;108350;108350
14.09.2018;108370;108370;108370;108370
14.09.2018;108360;108460;108360;108440
14.09.2018;108460;108470;108460;108470
14.09.2018;108480;108520;108450;108520
14.09.2018;108490;108500;108450;108480
14.09.2018;108460;108470;108450;108460
14.09.2018;108490;108630;108490;108580
14.09.2018;108580;108610;108580;108610
14.09.2018;108590;108610;108580;108580
14.09.2018;108500;108500;108500;108500
14.09.2018;108510;108520;108490;108520
14.09.2018;108530;108530;108520;108520
14.09.2018;108490;108530;108480;108530
14.09.2018;108600;108600;108540;108580
14.09.2018;108570;108620;108320;108320
14.09.2018;108250;108260;107800;107880
14.09.2018;107960;108020;107930;108000
14.09.2018;107970;107990;107910;107950
14.09.2018;107920;108000;107910;107920
14.09.2018;107920;107950;107920;107920
14.09.2018;107920;107920;107850;107850
14.09.2018;107850;107920;107810;107880
14.09.2018;107850;107930;107850;107930
14.09.2018;107950;108050;107950;108050
14.09.2018;108060;108160;108060;108110
14.09.2018;108120;108160;108090;108150
14.09.2018;108120;108170;108100;108170
14.09.2018;108120;108120;108120;108120
14.09.2018;108100;108100;108080;108080
14.09.2018;108160;108160;108160;108160
14.09.2018;108160;108160;108160;108160
14.09.2018;108070;108070;108070;108070
14.09.2018;108070;108070;108070;108070
14.09.2018;108070;108070;108050;108060
14.09.2018;108020;108020;107890;107890
14.09.2018;107860;107890;107850;107850
14.09.2018;107830;107830;107780;107780
14.09.2018;107770;107770;107720;107720
14.09.2018;107710;107790;107710;107790
14.09.2018;107790;107790;107730;107730
14.09.2018;107730;107730;107730;107730
14.09.2018;107870;107870;107850;107850
14.09.2018;107800;107800;107800;107800
14.09.2018;107880;107910;107880;107910
14.09.2018;107920;107960;107910;107910
14.09.2018;107900;107900;107860;107870
14.09.2018;107920;107920;107900;107910
14.09.2018;107890;107890;107890;107890
14.09.2018;107900;107900;107900;107900
14.09.2018;107920;107920;107860;107860
14.09.2018;107890;107890;107890;107890
14.09.2018;107920;107920;107920;107920
14.09.2018;107970;107980;107970;107980
14.09.2018;107960;107960;107960;107960
14.09.2018;107960;107960;107960;107960
14.09.2018;107990;108040;107990;108040
14.09.2018;107980;107980;107970;107970
14.09.2018;107960;107960;107960;107960
14.09.2018;107910;107910;107910;107910
14.09.2018;107970;107970;107970;107970
14.09.2018;107950;107950;107950;107950
14.09.2018;107910;108000;107880;107880
14.09.2018;107920;107920;107920;107920
14.09.2018;107960;107960;107960;107960
14.09.2018;107950;107950;107950;107950
14.09.2018;108000;108000;108000;108000
14.09.2018;107980;107980;107960;107960
14.09.2018;107910;107910;107900;107900
14.09.2018;107910;107910;107910;107910
14.09.2018;107850;107870;107850;107870
14.09.2018;107830;107830;107830;107830
14.09.2018;107820;107820;107820;107820
14.09.2018;107870;107870;107870;107870
14.09.2018;107880;107880;107880;107880
14.09.2018;107930;107930;107930;107930
14.09.2018;107930;108020;107930;107990
14.09.2018;108000;108000;108000;108000
14.09.2018;108000;108050;108000;108050
14.09.2018;108050;108050;108050;108050
14.09.2018;108050;108050;108050;108050
14.09.2018;108050;108080;108050;108070
14.09.2018;108080;108100;108070;108070
14.09.2018;108070;108070;108070;108070
14.09.2018;108070;108100;108070;108100
14.09.2018;108090;108110;108080;108080
14.09.2018;108070;108130;108070;108130
14.09.2018;108120;108120;108120;108120
14.09.2018;108120;108120;108120;108120
14.09.2018;108140;108150;108140;108150
14.09.2018;108120;108140;108110;108140
14.09.2018;108120;108140;108120;108140
14.09.2018;108140;108140;108120;108130
14.09.2018;108140;108140;108140;108140
14.09.2018;108140;108140;108140;108140
14.09.2018;108140;108140;108140;108140
14.09.2018;108130;108130;108130;108130
14.09.2018;108070;108080;108070;108080
14.09.2018;108160;108200;108160;108200
14.09.2018;108170;108170;108170;108170
14.09.2018;108170;108170;108170;108170
14.09.2018;108140;108170;108140;108170
14.09.2018;108150;108150;108150;108150
14.09.2018;108140;108140;108130;108140
14.09.2018;108140;108140;108080;108100
14.09.2018;108090;108120;108090;108100
14.09.2018;108100;108180;108100;108180
14.09.2018;108130;108130;108130;108130
14.09.2018;108110;108110;108090;108090
14.09.2018;108100;108100;108100;108100
14.09.2018;108090;108090;108090;108090
14.09.2018;108110;108110;108110;108110
14.09.2018;108090;108090;108090;108090
14.09.2018;108090;108090;108090;108090
14.09.2018;108090;108090;108090;108090
14.09.2018;108100;108100;108100;108100
14.09.2018;108130;108140;108130;108140
14.09.2018;108160;108160;108160;108160
14.09.2018;108200;108220;108200;108220
14.09.2018;108230;108240;108230;108240
14.09.2018;108220;108230;108220;108230
14.09.2018;108250;108260;108220;108220
14.09.2018;108250;108250;108250;108250
14.09.2018;108250;108250;108250;108250
14.09.2018;108250;108250;108250;108250
14.09.2018;108260;108260;108250;108250
14.09.2018;108260;108280;108260;108280
14.09.2018;108210;108210;108210;108210
14.09.2018;108210;108210;108180;108180
14.09.2018;108230;108230;108230;108230
14.09.2018;108240;108240;108240;108240
14.09.2018;108230;108230;108230;108230
14.09.2018;108260;108280;108260;108280
14.09.2018;108280;108280;108280;108280
14.09.2018;108250;108250;108250;108250
14.09.2018;108250;108250;108250;108250
14.09.2018;108300;108400;108300;108350
14.09.2018;108330;108330;108300;108300
14.09.2018;108290;108290;108290;108290
14.09.2018;108260;108290;108260;108290
14.09.2018;108260;108260;108260;108260
14.09.2018;108280;108280;108280;108280
14.09.2018;108350;108350;108350;108350
14.09.2018;108340;108370;108330;108330
14.09.2018;108330;108330;108290;108290
14.09.2018;108300;108300;108300;108300
14.09.2018;108340;108340;108340;108340
14.09.2018;108320;108320;108320;108320
14.09.2018;108320;108320;108320;108320
14.09.2018;108320;108320;108300;108320
14.09.2018;108310;108310;108310;108310
14.09.2018;108290;108290;108290;108290
14.09.2018;108230;108230;108210;108230
14.09.2018;108260;108260;108260;108260
14.09.2018;108280;108280;108280;108280
14.09.2018;108240;108250;108240;108250
14.09.2018;108240;108240;108230;108230
14.09.2018;108210;108210;108210;108210
14.09.2018;108200;108200;108200;108200
14.09.2018;108180;108180;108180;108180
14.09.2018;108190;108190;108190;108190
14.09.2018;108170;108170;108170;108170
14.09.2018;108190;108190;108190;108190
14.09.2018;108180;108180;108180;108180
14.09.2018;108150;108150;108150;108150
14.09.2018;108140;108140;108100;108100
14.09.2018;108070;108100;108050;108050
14.09.2018;108120;108120;108120;108120
14.09.2018;108130;108130;108130;108130
14.09.2018;108140;108140;108140;108140
14.09.2018;108140;108180;108140;108180
14.09.2018;108180;108180;108180;108180
14.09.2018;108190;108260;108190;108260
14.09.2018;108200;108200;108190;108190
14.09.2018;108220;108220;108220;108220
14.09.2018;108260;108260;108260;108260
14.09.2018;108280;108280;108280;108280
14.09.2018;108220;108220;108220;108220
14.09.2018;108230;108230;108230;108230
14.09.2018;108230;108230;108230;108230
14.09.2018;108200;108200;108180;108180
14.09.2018;108230;108230;108230;108230
14.09.2018;108300;108310;108300;108300
14.09.2018;108300;108300;108280;108280
14.09.2018;108300;108300;108300;108300
14.09.2018;108330;108330;108330;108330
14.09.2018;108330;108330;108290;108290
14.09.2018;108340;108340;108340;108340
14.09.2018;108340;108350;108310;108310
14.09.2018;108370;108380;108310;108310
16.10.2018;114540;115140;114540;114890
16.10.2018;114870;115020;114800;114820
16.10.2018;114810;114820;114660;114720
16.10.2018;114720;114730;114550;114580
16.10.2018;114570;114680;114570;114650
16.10.2018;114660;114710;114630;114710
16.10.2018;114710;114730;114410;114450
16.10.2018;114460;114550;114390;114550
16.10.2018;114550;114580;114430;114480
16.10.2018;114470;114540;114470;114500
16.10.2018;114500;114770;114470;114770
16.10.2018;114760;114810;114690;114740
16.10.2018;114740;114780;114650;114680
16.10.2018;114670;114710;114530;114590
16.10.2018;114580;114660;114550;114580
16.10.2018;114590;114640;114520;114610
16.10.2018;114600;114670;114590;114640
16.10.2018;114640;114800;114630;114740
16.10.2018;114750;114820;114740;114790
16.10.2018;114790;114840;114750;114780
16.10.2018;114780;114830;114730;114810
16.10.2018;114820;114890;114740;114780
16.10.2018;114770;114810;114730;114800
16.10.2018;114780;114780;114670;114740
16.10.2018;114740;114820;114740;114770
16.10.2018;114780;114830;114720;114750
16.10.2018;114750;114840;114750;114830
16.10.2018;114840;114890;114770;114810
16.10.2018;114810;114990;114810;114940
16.10.2018;114940;114960;114840;114860
16.10.2018;114870;114960;114870;114960
16.10.2018;114950;114970;114890;114910
16.10.2018;114910;114940;114890;114920
16.10.2018;114910;114930;114890;114920
16.10.2018;114920;114990;114910;114990
16.10.2018;114980;114980;114890;114960
16.10.2018;114950;114980;114900;114970
16.10.2018;114970;114970;114870;114890
16.10.2018;114880;114900;114860;114900
16.10.2018;114900;114960;114880;114940
16.10.2018;114940;115020;114900;114980
16.10.2018;114960;114960;114700;114750
16.10.2018;114750;114780;114700;114730
16.10.2018;114720;114720;114610;114650
16.10.2018;114650;114700;114550;114670
16.10.2018;114670;114760;114620;114740
16.10.2018;114750;114850;114750;114790
16.10.2018;114800;114850;114790;114810
16.10.2018;114810;114870;114790;114830
16.10.2018;114840;114840;114750;114790
16.10.2018;114780;114820;114780;114790
16.10.2018;114790;114790;114690;114730
16.10.2018;114730;114730;114640;114710
16.10.2018;114710;114740;114700;114720
16.10.2018;114720;114720;114620;114630
16.10.2018;114630;114680;114550;114680
16.10.2018;114680;114720;114630;114700
16.10.2018;114700;114710;114600;114620
16.10.2018;114630;114660;114490;114520
16.10.2018;114520;114670;114500;114650
16.10.2018;114630;114750;114600;114690
16.10.2018;114690;114720;114650;114700
16.10.2018;114700;114720;114560;114610
16.10.2018;114610;114670;114590;114630
16.10.2018;114630;114670;114610;114630
16.10.2018;114640;114670;114600;114640
16.10.2018;114650;114650;114590;114650
16.10.2018;114650;114750;114630;114750
16.10.2018;114750;114860;114750;114830
16.10.2018;114830;115040;114830;114880
16.10.2018;114890;114920;114850;114880
16.10.2018;114850;114870;114790;114810
16.10.2018;114800;114820;114750;114770
16.10.2018;114760;114790;114710;114730
16.10.2018;114730;114770;114700;114720
16.10.2018;114710;114790;114710;114770
16.10.2018;114780;114790;114730;114770
16.10.2018;114780;114800;114710;114800
16.10.2018;114790;114820;114780;114820
16.10.2018;114820;114830;114780;114780
16.10.2018;114780;114780;114660;114730
16.10.2018;114710;114730;114670;114690
16.10.2018;114680;114730;114670;114700
16.10.2018;114710;114840;114700;114810
16.10.2018;114800;114830;114770;114800
16.10.2018;114790;114870;114760;114860
16.10.2018;114870;114940;114830;114900
16.10.2018;114920;114920;114850;114870
16.10.2018;114850;114920;114850;114890
